k,GMM,Kmeans
2,0.058255272075101464,0.05094479369523126
3,0.06090814379328232,0.05365912642572683
4,0.04796641255843409,0.05193187019233108
5,0.039865877657138823,0.048674919929474945
6,0.04103299243625715,0.03864134987072159
7,0.029356857393380918,0.0476961918835181
8,0.04214010029629187,0.057263542747008185
9,0.03812140995102396,0.05047634290550526
10,0.035707491499671326,0.04966902080375589
15,0.04198540401046165,0.052733853230667864
20,0.047466218029690276,0.05418618764126461
25,0.049808041365630114,0.057268102134259265
30,0.052129758741974716,0.05556628837024119
35,0.042267242985338856,0.04318672000143169
