k,type,score,label
2,Kmeans,0.236248,1
2,Kmeans,0.303708,1
2,Kmeans,0.33936,1
2,Kmeans,-0.052857,0
2,Kmeans,0.256556,1
2,Kmeans,0.208682,1
2,Kmeans,0.297853,1
2,Kmeans,0.284545,1
2,Kmeans,0.17698,1
2,Kmeans,-0.061804,0
2,Kmeans,0.149055,0
2,Kmeans,0.073757,0
2,Kmeans,0.269976,1
2,Kmeans,0.174799,1
2,Kmeans,0.030479,0
2,Kmeans,0.061921,0
2,Kmeans,0.288431,1
2,Kmeans,0.200979,0
2,Kmeans,0.168361,1
2,Kmeans,0.131383,0
2,Kmeans,0.08203,0
2,Kmeans,0.263221,1
2,Kmeans,0.295585,1
2,Kmeans,0.341805,1
2,Kmeans,0.334671,1
2,Kmeans,0.239614,1
2,Kmeans,0.22239,1
2,Kmeans,0.039379,0
2,Kmeans,0.289787,1
2,Kmeans,0.334953,1
2,Kmeans,0.139177,1
2,Kmeans,0.15647,1
2,Kmeans,0.281502,1
2,Kmeans,0.124671,0
2,Kmeans,0.347414,1
2,Kmeans,0.312399,1
2,Kmeans,0.245381,1
2,Kmeans,0.168389,1
2,Kmeans,0.062103,1
2,Kmeans,0.077983,0
2,Kmeans,-0.047696,0
2,Kmeans,0.367347,1
2,Kmeans,0.121126,0
2,Kmeans,0.127977,0
2,Kmeans,0.007454,0
2,Kmeans,0.147755,1
2,Kmeans,0.250316,1
2,Kmeans,0.111329,0
2,Kmeans,-0.017366,0
2,Kmeans,0.06401,0
2,Kmeans,0.315435,1
2,Kmeans,0.26339,1
2,Kmeans,-0.035796,0
2,Kmeans,0.363884,1
2,Kmeans,0.245102,1
2,Kmeans,0.114559,1
2,Kmeans,0.167242,0
2,Kmeans,0.048676,0
2,Kmeans,0.11866,1
2,Kmeans,0.016488,0
2,Kmeans,0.279763,1
2,Kmeans,0.040532,0
2,Kmeans,0.028326,0
2,Kmeans,0.258358,1
2,Kmeans,0.352007,1
2,Kmeans,0.267582,1
