k,GMM,Kmeans
2,0.1887396536917994,0.17758492301736092
3,0.0830472258295764,0.17331774696638413
4,0.08458314516697545,0.1531847207818593
5,0.07731385857418703,0.16510028338127242
6,0.08029981293250661,0.1826335042511087
7,0.05561490951148602,0.16176776656260877
8,0.0689804542410065,0.16234801991871345
9,0.029182815611103346,0.16440700758600438
10,0.0603745356414935,0.15791699473523832
15,0.08325026087047428,0.1434873704145236
20,0.05766409969818148,0.14959531114480026
25,0.09665200115035145,0.13801634231427343
30,0.11729368342383446,0.1482251350379556
35,0.12361401078781452,0.14858370272306926
