k,GMM,Kmeans
2,0.015888008942579288,0.05043961101575355
3,0.06234104995224682,0.09132896615768649
4,0.08834742026621575,0.15732484516850775
5,0.14707784037519908,0.14707784037519908
6,0.28734303617386014,0.15528450117717157
7,0.24703180204329264,0.2585115061703017
8,0.2535128451446421,0.23264031841532226
9,0.20930739646678329,0.22383529958711232
10,0.2072302041019452,0.16660144899625665
15,0.2058241352067872,0.19698032611191973
20,0.2038343782987594,0.18369084434017038
25,0.1798648403065739,0.20355725940441413
30,0.19680652768567367,0.18420914389885945
35,0.1875944934640911,0.1869034744073527
