k,type,score,label
2,Kmeans,0.035602,0
2,Kmeans,0.113731,1
2,Kmeans,0.053704,0
2,Kmeans,0.043604,0
2,Kmeans,0.04744,1
2,Kmeans,0.121972,1
2,Kmeans,0.137617,1
2,Kmeans,0.061456,1
2,Kmeans,0.042527,0
2,Kmeans,0.124677,1
2,Kmeans,0.113957,1
2,Kmeans,0.070937,1
2,Kmeans,0.129987,1
2,Kmeans,0.039292,1
2,Kmeans,0.069969,1
2,Kmeans,0.133999,1
2,Kmeans,0.113325,1
2,Kmeans,0.008825,0
2,Kmeans,0.071556,1
2,Kmeans,0.126927,1
2,Kmeans,0.124062,1
2,Kmeans,0.094843,1
2,Kmeans,0.068381,0
2,Kmeans,0.063373,1
2,Kmeans,0.050125,0
2,Kmeans,0.049309,0
2,Kmeans,0.048966,0
2,Kmeans,0.129196,1
2,Kmeans,0.132569,1
2,Kmeans,0.076177,1
2,Kmeans,0.096864,1
2,Kmeans,0.077098,1
2,Kmeans,0.043958,0
2,Kmeans,0.089124,1
2,Kmeans,0.117284,1
2,Kmeans,0.123906,1
2,Kmeans,0.048988,0
2,Kmeans,0.039885,0
2,Kmeans,0.107445,1
2,Kmeans,0.055383,1
2,Kmeans,0.044498,1
2,Kmeans,0.051238,0
2,Kmeans,0.082086,1
2,Kmeans,0.057751,0
2,Kmeans,0.123495,1
2,Kmeans,0.128044,1
2,Kmeans,0.065313,1
2,Kmeans,0.04069,1
2,Kmeans,0.143892,1
2,Kmeans,0.041813,0
2,Kmeans,0.07682,1
2,Kmeans,0.050765,0
2,Kmeans,0.074168,1
2,Kmeans,0.115617,1
2,Kmeans,0.043718,0
2,Kmeans,0.059384,0
2,Kmeans,0.061866,0
2,Kmeans,0.077346,0
2,Kmeans,0.100073,1
2,Kmeans,0.032507,1
2,Kmeans,0.060716,0
2,Kmeans,0.052089,0
2,Kmeans,0.077422,1
2,Kmeans,0.097835,1
2,Kmeans,0.140123,1
2,Kmeans,0.122792,1
2,Kmeans,0.0578,0
2,Kmeans,0.033606,0
2,Kmeans,0.107303,1
2,Kmeans,0.1086,1
2,Kmeans,0.117586,1
2,Kmeans,0.070918,1
2,Kmeans,0.039459,0
2,Kmeans,0.113227,1
2,Kmeans,0.06295,1
2,Kmeans,0.05471,1
2,Kmeans,0.061151,0
2,Kmeans,0.110517,1
2,Kmeans,0.125072,1
2,Kmeans,0.136299,1
2,Kmeans,0.04149,0
2,Kmeans,0.050982,0
2,Kmeans,0.127841,1
2,Kmeans,0.055181,1
2,Kmeans,0.047993,0
2,Kmeans,0.041742,0
2,Kmeans,0.050298,0
2,Kmeans,0.074515,1
2,Kmeans,0.046356,0
2,Kmeans,0.039525,1
2,Kmeans,0.11231,1
2,Kmeans,0.067549,0
2,Kmeans,0.121805,1
2,Kmeans,0.122583,1
2,Kmeans,0.121742,1
2,Kmeans,0.049134,1
2,Kmeans,0.135548,1
2,Kmeans,0.110201,1
2,Kmeans,0.12588,1
2,Kmeans,0.040742,0
2,Kmeans,0.049551,0
2,Kmeans,0.040616,1
2,Kmeans,0.032263,1
2,Kmeans,0.103692,1
2,Kmeans,0.130471,1
