k,GMM,Kmeans
2,0.19641297881808062,0.08222451174599009
3,0.08004892236938489,0.08734243967632005
4,0.07733122380812493,0.07752947991798201
5,0.11450092135114556,0.11450092135114556
6,0.13375781750197363,0.11625427998761002
7,0.1383164778904467,0.14349137090667477
8,0.10871863147401468,0.15292568149480562
9,0.125551907001031,0.13377353814832368
10,0.13542263380066988,0.16644868025230083
15,0.20973106865070604,0.2166995188814022
20,0.2266918066408177,0.2325823620000679
25,0.2240657586868542,0.23291983370479313
30,0.24204505880988578,0.2519088074399902
35,0.26044495360668696,0.25983265038649084
