k,GMM,Kmeans
2,0.6506666666666666,0.6986666666666667
3,0.6666666666666666,0.6773333333333333
4,0.6693333333333333,0.704
5,0.7066666666666667,0.672
6,0.6826666666666666,0.6693333333333333
7,0.6986666666666667,0.7066666666666667
8,0.6853333333333333,0.6986666666666667
9,0.7146666666666667,0.704
10,0.72,0.7013333333333334
15,0.7226666666666667,0.7466666666666667
20,0.7226666666666667,0.7573333333333333
25,0.7573333333333333,0.7626666666666667
30,0.768,0.7573333333333333
35,0.7653333333333333,0.7653333333333333
