k,GMM,Kmeans
2,0.03753333992866577,0.11229408820819729
3,0.0704200194906388,0.08754834270416058
4,0.05914365701853632,0.05793171715341616
5,0.05167221411420203,0.07364448261969497
6,0.05153715813160421,0.06567603252544206
7,0.0518858386032645,0.06463931808734395
8,0.039598485939324836,0.05170939254413393
9,0.049193683548772994,0.05325029388333937
10,0.051723946996399074,0.04652713377607547
15,0.038819583111599706,0.051044477012367334
20,0.04142626120946609,0.05356228669646499
25,0.045682817701473304,0.05075824683451721
30,0.04729724522619215,0.04406277131554383
35,0.047698427608387425,0.04413294116980729
