,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.07457633018493652,0.013320191960620141,0.0015034198760986329,0.00038453954273916935,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 2}",0.6470143613000756,0.5,0.5,0.5,0.5000000000000002,0.5297949105568153,0.05909774150011537,85,0.6804487179487179,0.4999999999999999,0.5,0.5,0.5,0.5360897435897435,0.07217948717948716
1,0.08986377716064453,0.016887492269089695,0.0013988494873046875,7.34749277533719e-05,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 3}",0.5000000000000002,0.5777080062794347,0.5,0.5,0.5040064102564104,0.5163321995464853,0.03072675653333545,113,0.5,0.6241758241758241,0.5,0.5,0.5027210884353741,0.5253793825222397,0.04940946133275991
2,0.10387353897094727,0.014076321864073187,0.0014710426330566406,0.0001597975870679993,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 4}",0.5000000000000002,0.5,0.5,0.5,0.5000000000000002,0.5,1.4043333874306804e-16,146,0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.965068306494546e-17
3,0.11761865615844727,0.016644470181045642,0.0017282485961914063,0.000539973320274301,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 5}",0.5000000000000002,0.5,0.5,0.5,0.5000000000000002,0.5,1.4043333874306804e-16,146,0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.965068306494546e-17
4,0.12965054512023927,0.014516895834188229,0.0015870094299316405,0.0001737014163747429,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 6}",0.5000000000000002,0.5,0.5,0.5,0.5000000000000002,0.5,1.4043333874306804e-16,146,0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.965068306494546e-17
5,0.1184514045715332,0.008570033920750491,0.0016489028930664062,0.00010051451322759147,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 7}",0.5000000000000002,0.5,0.5,0.5,0.5000000000000002,0.5,1.4043333874306804e-16,146,0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.965068306494546e-17
6,0.14089431762695312,0.015909509860643486,0.0016413211822509765,0.00011901758037681859,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 8}",0.5000000000000002,0.5,0.5,0.5,0.5000000000000002,0.5,1.4043333874306804e-16,146,0.5,0.4999999999999999,0.5,0.5,0.5,0.5,4.965068306494546e-17
7,0.16874136924743652,0.03338998023400214,0.0018536567687988282,0.0003420802454736986,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 9}",0.4663643235071807,0.6785714285714285,0.4611459968602825,0.543956043956044,0.5000000000000002,0.529917863441673,0.08000071651423211,84,0.580448717948718,0.6032967032967032,0.5351648351648353,0.5732600732600732,0.5,0.558434065934066,0.03653247538798053
8,0.19255757331848145,0.024462259555843774,0.0018610954284667969,0.00029257676573191794,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 10}",0.5166288737717311,0.5,0.5,0.6989795918367347,0.46875000000000017,0.5369993701184177,0.08245223957807767,73,0.5070512820512821,0.4999999999999999,0.5,0.6479853479853479,0.5290816326530612,0.5368236525379382,0.05659543837360891
9,0.19689159393310546,0.028873819093562743,0.0023059844970703125,0.00036488403768642765,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 15}",0.5000000000000002,0.5180533751962323,0.5282574568288854,0.5192307692307693,0.5456730769230771,0.522121140763998,0.014870928599088843,104,0.5,0.5483516483516483,0.515018315018315,0.5611721611721612,0.5712585034013604,0.5391601255886969,0.027260455290301955
