k,type,score,label
2,Kmeans,-0.059002,1
2,Kmeans,0.434779,0
2,Kmeans,0.401286,0
2,Kmeans,0.256817,0
2,Kmeans,0.36997,0
2,Kmeans,0.006632,1
2,Kmeans,0.271189,0
2,Kmeans,0.315641,0
2,Kmeans,-0.048805,1
2,Kmeans,0.291134,0
2,Kmeans,-0.012091,1
2,Kmeans,0.201875,1
2,Kmeans,0.310367,0
2,Kmeans,0.108843,1
2,Kmeans,0.254771,1
2,Kmeans,0.113115,0
2,Kmeans,0.436419,0
2,Kmeans,-0.028148,1
2,Kmeans,0.056114,1
2,Kmeans,0.267668,1
2,Kmeans,-0.037827,1
2,Kmeans,-0.015749,1
2,Kmeans,0.279568,0
2,Kmeans,0.308264,0
2,Kmeans,0.387874,0
2,Kmeans,0.135077,1
2,Kmeans,-0.02125,1
2,Kmeans,0.121423,0
2,Kmeans,0.268726,0
2,Kmeans,0.339242,0
2,Kmeans,0.354297,0
2,Kmeans,0.267945,1
2,Kmeans,-0.107785,1
2,Kmeans,0.272832,1
2,Kmeans,0.38483,0
2,Kmeans,0.413666,0
2,Kmeans,0.342748,0
2,Kmeans,0.106369,1
2,Kmeans,0.057854,1
2,Kmeans,0.275764,0
2,Kmeans,0.167996,0
2,Kmeans,0.342461,0
2,Kmeans,0.265456,1
2,Kmeans,0.138146,0
2,Kmeans,0.160264,1
2,Kmeans,0.253777,0
2,Kmeans,0.369572,0
2,Kmeans,0.155517,0
2,Kmeans,0.110406,0
2,Kmeans,0.160843,0
2,Kmeans,0.42982,0
2,Kmeans,0.047267,1
2,Kmeans,-0.018857,1
2,Kmeans,0.448618,0
2,Kmeans,-0.032266,1
2,Kmeans,0.211283,0
2,Kmeans,0.209429,1
2,Kmeans,0.281627,0
2,Kmeans,0.197023,1
2,Kmeans,0.292544,1
2,Kmeans,-0.072547,1
2,Kmeans,0.083383,1
2,Kmeans,0.22567,0
2,Kmeans,0.182004,0
2,Kmeans,0.283826,0
2,Kmeans,0.283035,0
2,Kmeans,0.213074,1
2,Kmeans,0.109087,1
2,Kmeans,0.442576,0
2,Kmeans,0.170407,0
2,Kmeans,0.377709,0
2,Kmeans,0.07179,1
2,Kmeans,0.246705,0
2,Kmeans,0.347417,0
2,Kmeans,0.356704,0
2,Kmeans,0.398605,0
2,Kmeans,0.152845,0
2,Kmeans,0.063588,1
2,Kmeans,0.316255,0
2,Kmeans,0.158275,0
2,Kmeans,-0.089107,1
2,Kmeans,0.389773,0
2,Kmeans,0.04318,1
2,Kmeans,0.309915,0
2,Kmeans,0.064483,0
2,Kmeans,0.236981,1
2,Kmeans,0.184391,1
2,Kmeans,0.255507,0
2,Kmeans,0.420803,0
2,Kmeans,0.305251,0
2,Kmeans,0.131282,1
2,Kmeans,0.244668,0
2,Kmeans,0.127615,1
