k,GMM,Kmeans
2,0.17795180842178535,0.20403524312132834
3,0.1914328298743115,0.22699768067791395
4,0.14058537086847098,0.1926261418795649
5,0.14369379712755048,0.23851291577479478
6,0.07317318531226405,0.2349429530565635
7,0.10939943457647325,0.21796115640859876
8,0.13777520110787705,0.20326586699852245
9,0.1161879043263231,0.20363520031781002
10,0.09685540200504045,0.1932503634044499
15,0.10797574165151165,0.19475145129126833
20,0.11745416587516398,0.19212921162073432
25,0.11679392381245005,0.18851422416808714
30,0.12256815146646212,0.18073407102989442
35,0.11706136460073492,0.1857370673771684
