k,GMM,Kmeans
2,0.5806532663316583,0.5798994974874372
3,0.7306532663316583,0.7211055276381909
4,0.8396984924623115,0.8625628140703517
5,0.8585427135678392,0.8869346733668342
6,0.8942211055276382,0.8974874371859296
7,0.8944723618090452,0.8974874371859296
8,0.8967336683417085,0.9183417085427136
9,0.8967336683417085,0.8992462311557788
10,0.8896984924623116,0.8989949748743719
15,0.9125628140703518,0.9100502512562814
20,0.9585427135678392,0.95
25,0.9316582914572864,0.9520100502512563
30,0.9467336683417086,0.9535175879396985
35,0.9763819095477387,0.9683417085427136
