k,GMM,Kmeans
2,0.01777339285380131,0.01743632980377627
3,0.1977339804469421,0.22077434800253135
4,0.2973635287300757,0.24443004050307934
5,0.27114127458257986,0.2741405692562117
6,0.2765217729991284,0.27176836672944094
7,0.2681049852059581,0.24572610686483914
8,0.25183015929066,0.2527969743992696
9,0.24863104093105365,0.23205649613143023
10,0.23033938829886558,0.21352882361250006
15,0.21325998630447487,0.18167895945043389
20,0.21584959760653946,0.20121486391618493
25,0.18138345928840255,0.18357547420649314
30,0.1834681125871509,0.17687565528984203
35,0.19198419301965344,0.18113525706803538
