k,type,score,label
2,Kmeans,0.208206,0
2,Kmeans,0.354501,0
2,Kmeans,0.235792,0
2,Kmeans,0.204265,0
2,Kmeans,0.152975,0
2,Kmeans,0.348489,0
2,Kmeans,0.429682,1
2,Kmeans,0.275696,0
2,Kmeans,0.201275,0
2,Kmeans,0.415329,1
2,Kmeans,0.348747,0
2,Kmeans,0.138906,1
2,Kmeans,0.450052,1
2,Kmeans,0.091005,0
2,Kmeans,0.174567,1
2,Kmeans,0.332985,0
2,Kmeans,0.379683,0
2,Kmeans,0.149354,0
2,Kmeans,0.383008,0
2,Kmeans,0.333506,0
2,Kmeans,0.379104,1
2,Kmeans,0.300819,1
2,Kmeans,0.147046,0
2,Kmeans,0.092186,1
2,Kmeans,0.153951,0
2,Kmeans,0.207272,0
2,Kmeans,0.253678,0
2,Kmeans,0.419338,1
2,Kmeans,0.331661,0
2,Kmeans,0.177231,1
2,Kmeans,0.337013,1
2,Kmeans,0.183434,1
2,Kmeans,0.269058,0
2,Kmeans,0.407527,1
2,Kmeans,0.341368,0
2,Kmeans,0.39169,1
2,Kmeans,0.260806,0
2,Kmeans,0.245799,0
2,Kmeans,0.358485,0
2,Kmeans,0.157599,1
2,Kmeans,0.079662,0
2,Kmeans,0.281961,0
2,Kmeans,0.146653,1
2,Kmeans,0.29993,0
2,Kmeans,0.442592,1
2,Kmeans,0.338666,0
2,Kmeans,0.297898,0
2,Kmeans,0.107567,0
2,Kmeans,0.33233,0
2,Kmeans,0.290299,0
2,Kmeans,0.184542,1
2,Kmeans,0.24388,0
2,Kmeans,0.160147,1
2,Kmeans,0.369835,0
2,Kmeans,0.229041,0
2,Kmeans,0.25609,0
2,Kmeans,0.299713,0
2,Kmeans,0.23881,0
2,Kmeans,0.380021,1
2,Kmeans,0.080031,0
2,Kmeans,0.165097,0
2,Kmeans,0.203349,0
2,Kmeans,0.228332,1
2,Kmeans,0.3329,1
2,Kmeans,0.384511,1
2,Kmeans,0.326122,0
2,Kmeans,0.233659,0
2,Kmeans,0.26518,0
2,Kmeans,0.339331,0
2,Kmeans,0.331903,0
2,Kmeans,0.298705,0
2,Kmeans,0.181129,1
2,Kmeans,0.335962,0
2,Kmeans,0.326095,0
2,Kmeans,0.178059,1
2,Kmeans,0.217962,0
2,Kmeans,0.170461,0
2,Kmeans,0.351734,0
2,Kmeans,0.38246,1
2,Kmeans,0.447839,1
2,Kmeans,0.330592,0
2,Kmeans,0.324908,0
2,Kmeans,0.457925,1
2,Kmeans,0.242437,0
2,Kmeans,0.234797,0
2,Kmeans,0.343958,0
2,Kmeans,0.2552,0
2,Kmeans,0.223134,1
2,Kmeans,0.288934,0
2,Kmeans,0.05792,0
2,Kmeans,0.327847,0
2,Kmeans,0.125729,0
2,Kmeans,0.335384,0
2,Kmeans,0.424588,1
2,Kmeans,0.319658,0
2,Kmeans,0.322065,0
2,Kmeans,0.407406,1
2,Kmeans,0.355109,0
2,Kmeans,0.326164,0
2,Kmeans,0.144714,0
2,Kmeans,0.224526,0
2,Kmeans,0.067839,0
2,Kmeans,0.100883,0
2,Kmeans,0.402634,1
2,Kmeans,0.351518,0
2,Kmeans,0.441609,1
2,Kmeans,0.359702,0
2,Kmeans,0.18009,0
2,Kmeans,0.273224,0
2,Kmeans,0.30125,0
2,Kmeans,0.378066,1
2,Kmeans,0.257105,0
2,Kmeans,0.258817,0
2,Kmeans,0.317397,0
2,Kmeans,0.319288,0
2,Kmeans,0.350995,0
2,Kmeans,0.361014,0
