k,GMM,Kmeans
2,0.27212445576426614,0.2764025867763207
3,0.3024835394323146,0.3423737025225572
4,0.3676140539831929,0.40825347036731635
5,0.41673789802360445,0.43037341079790775
6,0.47265441193404306,0.48215568120164054
7,0.5089147501786397,0.5244517645199522
8,0.4969793945309007,0.4916569301658512
9,0.49625892209085176,0.5112616155232531
10,0.3989074779846702,0.46626991924329214
15,0.3301095887001005,0.3203320093539916
20,0.3243186190106673,0.3134652638633327
25,0.2855584826245142,0.3181953084170197
30,0.28569025691127653,0.31602044568227816
35,0.26775173847949973,0.31715004995792095
