k,GMM,Kmeans
2,0.12285761032480054,0.2139007704196468
3,0.07613166917440001,0.12406177975031517
4,0.06403032887522936,0.0922406738173824
5,0.08239273044627303,0.07995779414947488
6,0.07052668820218548,0.07903964800210656
7,0.08317238310668777,0.08558294625141386
8,0.05675867244128991,0.07762091584174662
9,0.06205384508227576,0.07311060716149853
10,0.07734451088681968,0.072808699221484
15,0.05219816727663514,0.06255680204455899
20,0.050352807175174534,0.05782766336562867
25,0.04959488830702245,0.06506103167338217
30,0.05712412978148932,0.05948800899997352
35,0.0621834344597474,0.05712315813163899
