k,type,score,label
2,Kmeans,0.049659,0
2,Kmeans,0.496735,1
2,Kmeans,0.521993,1
2,Kmeans,-0.035806,0
2,Kmeans,0.493198,1
2,Kmeans,0.006097,0
2,Kmeans,0.356916,1
2,Kmeans,0.441407,1
2,Kmeans,0.150444,0
2,Kmeans,-0.039283,0
2,Kmeans,0.251206,0
2,Kmeans,0.179415,0
2,Kmeans,0.372188,1
2,Kmeans,0.099801,0
2,Kmeans,0.279931,0
2,Kmeans,0.140784,1
2,Kmeans,0.435703,1
2,Kmeans,0.155659,0
2,Kmeans,0.188621,1
2,Kmeans,0.316091,0
2,Kmeans,0.140424,0
2,Kmeans,0.207691,1
2,Kmeans,0.354489,1
2,Kmeans,0.427195,1
2,Kmeans,0.504356,1
2,Kmeans,-0.063689,0
2,Kmeans,-0.090963,0
2,Kmeans,0.138687,0
2,Kmeans,0.356789,1
2,Kmeans,0.434907,1
2,Kmeans,0.43494,1
2,Kmeans,0.139115,0
2,Kmeans,0.223219,1
2,Kmeans,0.258771,0
2,Kmeans,0.442332,1
2,Kmeans,0.462735,1
2,Kmeans,0.291756,1
2,Kmeans,0.233371,1
2,Kmeans,0.083263,0
2,Kmeans,-0.007619,0
2,Kmeans,0.209296,1
2,Kmeans,0.464768,1
2,Kmeans,0.22684,0
2,Kmeans,0.147124,0
2,Kmeans,0.094554,0
2,Kmeans,0.376924,1
2,Kmeans,0.465553,1
2,Kmeans,0.101327,0
2,Kmeans,0.085066,0
2,Kmeans,0.139044,0
2,Kmeans,0.54615,1
2,Kmeans,-0.056979,0
2,Kmeans,0.007126,0
2,Kmeans,0.5355,1
2,Kmeans,0.044988,0
2,Kmeans,0.117231,0
2,Kmeans,0.278314,0
2,Kmeans,-0.012008,0
2,Kmeans,0.191125,0
2,Kmeans,0.231122,0
2,Kmeans,0.421116,1
2,Kmeans,-0.036448,0
2,Kmeans,0.186325,0
2,Kmeans,0.334946,1
2,Kmeans,0.338133,1
2,Kmeans,0.440291,1
2,Kmeans,0.046837,0
2,Kmeans,-0.035354,0
2,Kmeans,0.414752,1
2,Kmeans,0.451352,1
2,Kmeans,0.510333,1
2,Kmeans,0.132732,0
2,Kmeans,0.395483,1
2,Kmeans,0.322373,1
2,Kmeans,0.473753,1
2,Kmeans,0.491909,1
2,Kmeans,0.238489,1
2,Kmeans,-0.085584,0
2,Kmeans,-0.150774,0
2,Kmeans,0.142609,1
2,Kmeans,0.270769,1
2,Kmeans,0.482359,1
2,Kmeans,-0.03597,0
2,Kmeans,0.45253,1
2,Kmeans,0.427887,1
2,Kmeans,0.174735,0
2,Kmeans,0.045204,0
2,Kmeans,-0.101391,0
2,Kmeans,0.438168,1
2,Kmeans,0.413421,1
2,Kmeans,0.043131,0
2,Kmeans,0.420612,1
2,Kmeans,0.199574,0
2,Kmeans,0.208267,0
2,Kmeans,0.286062,1
2,Kmeans,-0.015293,0
2,Kmeans,0.267493,0
2,Kmeans,0.307623,0
2,Kmeans,0.405648,1
2,Kmeans,-0.049818,0
2,Kmeans,0.264386,1
2,Kmeans,0.147174,0
2,Kmeans,0.222203,1
2,Kmeans,0.231455,1
2,Kmeans,0.489344,1
2,Kmeans,0.495462,1
2,Kmeans,0.485371,1
2,Kmeans,0.212573,0
2,Kmeans,0.241795,1
2,Kmeans,0.197533,0
2,Kmeans,0.31116,0
2,Kmeans,0.413195,1
2,Kmeans,0.434469,1
2,Kmeans,0.512263,1
2,Kmeans,0.330308,1
2,Kmeans,-0.002388,0
2,Kmeans,0.5012,1
2,Kmeans,0.255622,1
2,Kmeans,0.315745,1
2,Kmeans,0.421358,1
2,Kmeans,0.225831,1
2,Kmeans,-0.156111,0
2,Kmeans,0.283998,1
2,Kmeans,0.280477,1
2,Kmeans,0.417035,1
2,Kmeans,0.106818,0
2,Kmeans,0.12136,1
2,Kmeans,0.515016,1
2,Kmeans,0.071829,0
2,Kmeans,0.193027,0
2,Kmeans,0.316736,1
2,Kmeans,0.16687,0
2,Kmeans,0.500444,1
2,Kmeans,0.418799,1
2,Kmeans,0.291732,1
2,Kmeans,0.493578,1
2,Kmeans,0.318152,1
2,Kmeans,0.20077,1
2,Kmeans,0.34967,1
2,Kmeans,0.483025,1
2,Kmeans,0.308029,1
2,Kmeans,0.474546,1
2,Kmeans,0.182809,0
2,Kmeans,0.407506,1
2,Kmeans,0.252945,1
2,Kmeans,-0.137377,0
2,Kmeans,0.379867,1
2,Kmeans,0.224713,0
2,Kmeans,0.243358,0
2,Kmeans,0.254592,0
2,Kmeans,-0.019906,0
2,Kmeans,0.010017,0
2,Kmeans,0.323154,1
2,Kmeans,0.479351,1
2,Kmeans,0.017656,0
2,Kmeans,-0.064812,0
2,Kmeans,0.171306,1
2,Kmeans,0.260121,0
2,Kmeans,0.412544,1
2,Kmeans,0.533806,1
2,Kmeans,0.249698,1
2,Kmeans,0.386205,1
2,Kmeans,-0.106359,0
2,Kmeans,0.101089,0
2,Kmeans,0.508454,1
2,Kmeans,0.388302,1
2,Kmeans,0.209294,0
