k,GMM,Kmeans
2,0.19444510613804744,0.2500806107820908
3,0.22284462429656754,0.26366739448760435
4,0.1689083901807231,0.2556264517570285
5,0.18497115629882757,0.22643025788389592
6,0.12679779787209597,0.22878761430190547
7,0.13657118167792665,0.2264028883596202
8,0.08937354323912697,0.2251613453679519
9,0.08960167746291434,0.20974929881178475
10,0.136820788895745,0.23797252621441567
15,0.07796387744900056,0.23933939923456296
20,0.09021194882572507,0.20938609722988136
25,0.1096180578850984,0.21208674194480917
30,0.12451604751961914,0.22285306239904212
35,0.09534374265137575,0.2242407145965098
