k,GMM,Kmeans
2,0.7075376884422111,0.7173366834170855
3,0.7113065326633166,0.7211055276381909
4,0.7113065326633166,0.9032663316582915
5,0.8964824120603015,0.9042713567839196
6,0.7341708542713568,0.9095477386934674
7,0.9324120603015076,0.9110552763819095
8,0.935427135678392,0.9349246231155779
9,0.9148241206030151,0.9110552763819095
10,0.9334170854271356,0.9334170854271356
15,0.9389447236180904,0.9329145728643216
20,0.9424623115577889,0.9394472361809045
25,0.9660804020100503,0.9517587939698492
30,0.9899497487437185,0.9675879396984924
35,0.9864321608040201,0.9675879396984924
