k,GMM,Kmeans
2,0.17001249293987106,0.19793730345959415
3,0.16377015881144394,0.1939903123989987
4,0.15278486018030593,0.29970363711982534
5,0.2680362794736355,0.2740836651463185
6,0.16376862605627704,0.25092250809276434
7,0.3003009050047854,0.2522693641972876
8,0.26780521554936176,0.2614313869660724
9,0.25177083446311155,0.2281600103416663
10,0.2519479314567323,0.23264662957265236
15,0.2172146028528883,0.2143380864134828
20,0.20597686863443712,0.21337326592191702
25,0.2124908164652307,0.1934154157274298
30,0.2124690287000047,0.19509352665874705
35,0.20149123076564132,0.18726443853678487
