k,type,score,label
2,Kmeans,0.248186,0
2,Kmeans,0.397466,0
2,Kmeans,0.219412,0
2,Kmeans,0.257976,0
2,Kmeans,0.345676,0
2,Kmeans,0.397466,0
2,Kmeans,0.669779,1
2,Kmeans,0.374207,0
2,Kmeans,0.219412,0
2,Kmeans,0.673878,1
2,Kmeans,0.415864,0
2,Kmeans,0.149822,0
2,Kmeans,0.6579,1
2,Kmeans,0.16002,0
2,Kmeans,0.103684,0
2,Kmeans,0.41465,0
2,Kmeans,0.397466,0
2,Kmeans,0.155518,0
2,Kmeans,0.437078,0
2,Kmeans,0.415864,0
2,Kmeans,0.669779,1
2,Kmeans,0.533935,1
2,Kmeans,0.022768,0
2,Kmeans,0.088116,0
2,Kmeans,0.174776,0
2,Kmeans,0.216419,0
2,Kmeans,0.167887,0
2,Kmeans,0.6579,1
2,Kmeans,0.415864,0
2,Kmeans,0.124837,0
2,Kmeans,0.533935,1
2,Kmeans,0.125627,0
2,Kmeans,0.248186,0
2,Kmeans,0.532591,1
2,Kmeans,0.41465,0
2,Kmeans,0.6579,1
2,Kmeans,0.402243,0
2,Kmeans,0.266324,0
2,Kmeans,0.430651,0
2,Kmeans,-0.015952,0
2,Kmeans,0.233123,0
2,Kmeans,0.371551,0
2,Kmeans,0.16848,0
2,Kmeans,0.342209,0
2,Kmeans,0.6579,1
2,Kmeans,0.433629,0
2,Kmeans,0.368427,0
2,Kmeans,0.233123,0
2,Kmeans,0.403615,0
2,Kmeans,0.338675,0
2,Kmeans,0.138962,0
2,Kmeans,0.387963,0
2,Kmeans,0.184193,0
2,Kmeans,0.403913,0
2,Kmeans,0.301799,0
2,Kmeans,0.257976,0
2,Kmeans,0.301799,0
2,Kmeans,0.232357,0
2,Kmeans,0.533935,1
2,Kmeans,0.16375,0
2,Kmeans,0.114359,0
2,Kmeans,0.2168,0
2,Kmeans,0.138354,0
2,Kmeans,0.532591,1
2,Kmeans,0.669779,1
2,Kmeans,0.403615,0
2,Kmeans,0.219412,0
2,Kmeans,0.316603,0
2,Kmeans,0.422916,0
2,Kmeans,0.403913,0
2,Kmeans,0.390483,0
2,Kmeans,0.103684,0
2,Kmeans,0.353427,0
2,Kmeans,0.403615,0
2,Kmeans,-0.015231,0
2,Kmeans,0.20574,0
2,Kmeans,0.232357,0
2,Kmeans,0.349728,0
2,Kmeans,0.669779,1
2,Kmeans,0.6579,1
2,Kmeans,0.340953,0
2,Kmeans,0.387963,0
2,Kmeans,0.654327,1
2,Kmeans,0.228476,0
2,Kmeans,0.257976,0
2,Kmeans,0.410193,0
2,Kmeans,0.222219,0
2,Kmeans,0.101413,0
2,Kmeans,0.301799,0
2,Kmeans,0.16375,0
2,Kmeans,0.371874,0
2,Kmeans,0.104295,0
2,Kmeans,0.41465,0
2,Kmeans,0.654327,1
2,Kmeans,0.422916,0
2,Kmeans,0.313903,0
2,Kmeans,0.669779,1
2,Kmeans,0.422916,0
2,Kmeans,0.422916,0
2,Kmeans,0.219412,0
2,Kmeans,0.232357,0
2,Kmeans,0.219884,0
2,Kmeans,0.308802,0
2,Kmeans,0.532591,1
2,Kmeans,0.415864,0
2,Kmeans,0.654327,1
2,Kmeans,0.413755,0
2,Kmeans,0.223274,0
2,Kmeans,0.368276,0
2,Kmeans,0.340953,0
2,Kmeans,0.533935,1
2,Kmeans,0.257976,0
2,Kmeans,0.301799,0
2,Kmeans,0.349728,0
2,Kmeans,0.433629,0
2,Kmeans,0.371874,0
2,Kmeans,0.353427,0
2,Kmeans,0.149822,0
2,Kmeans,0.422916,0
2,Kmeans,0.243916,0
2,Kmeans,0.103684,0
2,Kmeans,0.103684,0
2,Kmeans,0.301799,0
2,Kmeans,0.160954,0
2,Kmeans,0.129843,0
2,Kmeans,0.219412,0
2,Kmeans,0.369311,0
2,Kmeans,0.673878,1
2,Kmeans,0.433629,0
2,Kmeans,0.070234,0
2,Kmeans,0.429169,0
2,Kmeans,0.6579,1
2,Kmeans,0.533935,1
2,Kmeans,0.430651,0
2,Kmeans,0.136632,0
2,Kmeans,0.225489,0
2,Kmeans,0.257976,0
2,Kmeans,0.403913,0
2,Kmeans,-0.041991,0
2,Kmeans,0.184193,0
2,Kmeans,0.654327,1
2,Kmeans,0.669779,1
2,Kmeans,0.6579,1
2,Kmeans,0.368634,0
2,Kmeans,0.403913,0
2,Kmeans,0.101413,0
2,Kmeans,0.39733,0
2,Kmeans,0.117664,0
2,Kmeans,0.325713,0
2,Kmeans,0.359403,0
2,Kmeans,0.422916,0
2,Kmeans,0.368634,0
2,Kmeans,-0.00601,0
2,Kmeans,0.413755,0
2,Kmeans,0.257976,0
2,Kmeans,0.222219,0
2,Kmeans,0.178541,0
2,Kmeans,0.155723,0
2,Kmeans,-0.015952,0
2,Kmeans,0.301799,0
2,Kmeans,0.533935,1
2,Kmeans,0.673878,1
2,Kmeans,0.334696,0
2,Kmeans,0.021785,0
2,Kmeans,0.316603,0
2,Kmeans,0.654327,1
2,Kmeans,0.145792,0
2,Kmeans,0.669779,1
2,Kmeans,0.311378,0
2,Kmeans,0.1375,0
2,Kmeans,0.41465,0
2,Kmeans,-0.015952,0
2,Kmeans,0.073317,0
2,Kmeans,0.243916,0
2,Kmeans,-0.015231,0
2,Kmeans,0.222015,0
2,Kmeans,0.403913,0
2,Kmeans,0.38441,0
2,Kmeans,0.532591,1
2,Kmeans,0.371874,0
2,Kmeans,0.669779,1
2,Kmeans,0.533935,1
2,Kmeans,0.673878,1
2,Kmeans,0.138927,0
2,Kmeans,0.021785,0
2,Kmeans,0.379441,0
2,Kmeans,0.673878,1
2,Kmeans,0.021785,0
2,Kmeans,0.073317,0
2,Kmeans,0.165064,0
2,Kmeans,0.403615,0
2,Kmeans,0.154036,0
2,Kmeans,0.654327,1
2,Kmeans,0.669779,1
2,Kmeans,0.149822,0
2,Kmeans,0.117407,0
2,Kmeans,0.330289,0
2,Kmeans,0.016722,0
2,Kmeans,0.127641,0
2,Kmeans,0.533935,1
2,Kmeans,0.219412,0
2,Kmeans,0.257976,0
2,Kmeans,0.403913,0
2,Kmeans,0.533935,1
2,Kmeans,0.6579,1
2,Kmeans,0.433629,0
2,Kmeans,0.232357,0
2,Kmeans,0.669779,1
2,Kmeans,0.352397,0
2,Kmeans,0.266679,0
2,Kmeans,0.088116,0
2,Kmeans,0.424271,0
2,Kmeans,0.117407,0
2,Kmeans,-0.016007,0
2,Kmeans,0.6579,1
2,Kmeans,0.243916,0
2,Kmeans,0.021785,0
2,Kmeans,0.673878,1
2,Kmeans,0.232357,0
2,Kmeans,0.443009,0
2,Kmeans,0.183579,1
2,Kmeans,0.6579,1
2,Kmeans,0.430651,0
2,Kmeans,0.669779,1
2,Kmeans,0.317146,1
2,Kmeans,0.316603,0
2,Kmeans,0.088116,0
2,Kmeans,0.673878,1
2,Kmeans,0.533935,1
2,Kmeans,0.669779,1
2,Kmeans,-0.015952,0
2,Kmeans,0.430651,0
2,Kmeans,0.243916,0
2,Kmeans,0.35664,0
2,Kmeans,0.413755,0
2,Kmeans,0.168661,0
2,Kmeans,0.533935,1
2,Kmeans,0.1283,0
2,Kmeans,0.257976,0
2,Kmeans,0.533935,1
2,Kmeans,0.076885,0
2,Kmeans,0.397466,0
2,Kmeans,0.673878,1
2,Kmeans,0.368634,0
2,Kmeans,0.403913,0
2,Kmeans,0.41465,0
2,Kmeans,0.532591,1
2,Kmeans,0.374207,0
2,Kmeans,0.138962,0
2,Kmeans,0.371874,0
2,Kmeans,0.398326,0
2,Kmeans,0.388588,0
2,Kmeans,0.088116,0
2,Kmeans,0.219412,0
2,Kmeans,0.088116,0
2,Kmeans,0.422916,0
2,Kmeans,0.368427,0
2,Kmeans,0.131667,1
2,Kmeans,0.673878,1
2,Kmeans,0.367693,0
2,Kmeans,0.433629,0
2,Kmeans,0.532591,1
2,Kmeans,0.403913,0
2,Kmeans,0.41465,0
2,Kmeans,-0.00601,0
2,Kmeans,0.301799,0
2,Kmeans,0.374207,0
2,Kmeans,0.257976,0
2,Kmeans,0.221086,1
2,Kmeans,0.6579,1
2,Kmeans,0.397466,0
2,Kmeans,0.355672,0
2,Kmeans,0.37591,0
2,Kmeans,0.169119,0
2,Kmeans,0.127641,0
2,Kmeans,0.422916,0
2,Kmeans,0.257976,0
2,Kmeans,-0.015952,0
2,Kmeans,0.673878,1
2,Kmeans,0.232357,0
2,Kmeans,0.317146,1
2,Kmeans,0.669779,1
2,Kmeans,0.349728,0
2,Kmeans,0.219412,0
2,Kmeans,0.359403,0
2,Kmeans,0.669779,1
2,Kmeans,0.368634,0
2,Kmeans,0.654327,1
2,Kmeans,0.398326,0
2,Kmeans,0.416667,0
2,Kmeans,0.149822,0
2,Kmeans,0.316603,0
2,Kmeans,0.248447,0
2,Kmeans,0.38441,0
2,Kmeans,0.257976,0
2,Kmeans,0.325713,0
2,Kmeans,0.316603,0
2,Kmeans,0.219412,0
2,Kmeans,-0.015231,0
2,Kmeans,0.316603,0
2,Kmeans,0.349728,0
2,Kmeans,0.368634,0
2,Kmeans,-0.015952,0
2,Kmeans,0.654327,1
2,Kmeans,0.669779,1
2,Kmeans,0.316603,0
2,Kmeans,0.443009,0
2,Kmeans,0.122475,0
2,Kmeans,0.167132,0
2,Kmeans,0.38441,0
2,Kmeans,0.232357,0
2,Kmeans,0.6579,1
2,Kmeans,0.349728,0
2,Kmeans,0.257976,0
2,Kmeans,0.390483,0
2,Kmeans,0.532591,1
2,Kmeans,0.112435,0
2,Kmeans,0.184193,0
2,Kmeans,0.301799,0
2,Kmeans,0.136632,0
2,Kmeans,0.154036,0
2,Kmeans,0.184193,0
2,Kmeans,0.301799,0
2,Kmeans,0.266679,0
2,Kmeans,0.117664,0
2,Kmeans,0.368634,0
2,Kmeans,0.6579,1
2,Kmeans,0.215,1
2,Kmeans,0.232357,0
2,Kmeans,0.403615,0
2,Kmeans,0.176827,0
2,Kmeans,0.137853,0
2,Kmeans,0.232357,0
2,Kmeans,0.241485,0
2,Kmeans,0.6579,1
2,Kmeans,0.375659,0
2,Kmeans,0.257976,0
2,Kmeans,0.6579,1
2,Kmeans,0.232357,0
2,Kmeans,0.371874,0
2,Kmeans,0.349728,0
