k,GMM,Kmeans
2,0.3436892188560152,0.34745173981210636
3,0.4072861938234271,0.41093388743488507
4,0.38660142224852834,0.4098908398355926
5,0.4349577001249815,0.4453103283530805
6,0.3658852654104294,0.4486353554319387
7,0.4772059971985982,0.47513970386373106
8,0.49122050124730776,0.5026220175998116
9,0.5077584205825562,0.5048824822728575
10,0.5362133623904141,0.5296491712449858
15,0.5008366521494879,0.6005985962086922
20,0.5521898483647547,0.61911250959252
25,0.629811519301663,0.5918498791695115
30,0.6129274415527045,0.6096455372053267
35,0.6299605989604794,0.6500926363966241
