k,GMM,Kmeans
2,0.6506666666666666,0.6666666666666666
3,0.6853333333333333,0.6746666666666666
4,0.688,0.6773333333333333
5,0.6933333333333334,0.704
6,0.6906666666666667,0.7066666666666667
7,0.7146666666666667,0.7013333333333334
8,0.696,0.7013333333333334
9,0.6986666666666667,0.7066666666666667
10,0.6933333333333334,0.7146666666666667
15,0.7093333333333334,0.7066666666666667
20,0.7226666666666667,0.7386666666666667
25,0.7413333333333333,0.7226666666666667
30,0.7413333333333333,0.7546666666666667
35,0.7413333333333333,0.736
