k,GMM,Kmeans
2,0.0011425588071623132,0.06601760642042029
3,0.10724671708358517,0.06106325463538104
4,0.08650205306503864,0.05457510436350936
5,0.07697445867511482,0.06498229229759732
6,0.06861496831967819,0.053937619301079584
7,0.07124633173279112,0.04814077340041718
8,0.04054374097196559,0.044227068690741576
9,0.05542269871572637,0.05354424430475236
10,0.04231379873425098,0.0529391682753814
15,0.038684617080991544,0.040592455240695796
20,0.03645588220701517,0.03952229536489137
25,0.03699253492544256,0.034515953853071324
30,0.032208248330308255,0.03384677991500167
35,0.03612723941244561,0.03135472306431871
