k,type,score,label
2,Kmeans,0.067468,1
2,Kmeans,0.454504,0
2,Kmeans,0.484703,0
2,Kmeans,0.229954,0
2,Kmeans,0.211325,0
2,Kmeans,0.193543,1
2,Kmeans,0.262296,0
2,Kmeans,0.382133,0
2,Kmeans,0.290348,0
2,Kmeans,0.245768,0
2,Kmeans,0.151989,1
2,Kmeans,0.366503,1
2,Kmeans,0.31959,0
2,Kmeans,0.121816,1
2,Kmeans,0.243812,1
2,Kmeans,0.059409,1
2,Kmeans,0.436359,0
2,Kmeans,0.216869,1
2,Kmeans,0.23991,0
2,Kmeans,0.397387,1
2,Kmeans,-0.035892,1
2,Kmeans,0.298689,0
2,Kmeans,0.331481,0
2,Kmeans,0.414775,0
2,Kmeans,0.393148,0
2,Kmeans,0.049275,1
2,Kmeans,0.08569,1
2,Kmeans,0.089166,0
2,Kmeans,0.294689,0
2,Kmeans,0.426638,0
2,Kmeans,0.425946,0
2,Kmeans,0.279061,1
2,Kmeans,0.266836,0
2,Kmeans,0.379846,1
2,Kmeans,0.47522,0
2,Kmeans,0.469628,0
2,Kmeans,0.438216,0
2,Kmeans,0.100813,0
2,Kmeans,0.110232,1
2,Kmeans,-0.006266,1
2,Kmeans,0.034724,1
2,Kmeans,0.455657,0
2,Kmeans,0.385223,1
2,Kmeans,0.008843,1
2,Kmeans,0.385082,1
2,Kmeans,0.026304,1
2,Kmeans,0.284053,0
2,Kmeans,-0.047912,1
2,Kmeans,0.132259,0
2,Kmeans,0.055304,1
2,Kmeans,0.412909,0
2,Kmeans,0.158064,0
2,Kmeans,0.179147,1
2,Kmeans,0.464666,0
2,Kmeans,0.169334,0
2,Kmeans,0.111423,0
2,Kmeans,0.309914,1
2,Kmeans,0.189341,0
2,Kmeans,0.170874,1
2,Kmeans,0.371673,1
2,Kmeans,0.13657,0
2,Kmeans,0.30312,1
2,Kmeans,0.133584,0
2,Kmeans,0.268583,0
2,Kmeans,0.382542,0
2,Kmeans,0.176976,0
2,Kmeans,0.300033,1
2,Kmeans,0.344718,1
2,Kmeans,0.415506,0
2,Kmeans,0.373917,0
2,Kmeans,0.459745,0
2,Kmeans,0.03658,1
2,Kmeans,0.263922,0
2,Kmeans,0.384199,0
2,Kmeans,0.463661,0
2,Kmeans,0.388605,0
2,Kmeans,0.447467,0
2,Kmeans,0.136849,1
2,Kmeans,0.400342,0
2,Kmeans,0.178213,0
2,Kmeans,0.13182,1
2,Kmeans,0.458408,0
2,Kmeans,-0.002154,1
2,Kmeans,0.16601,0
2,Kmeans,0.303554,0
2,Kmeans,0.376185,1
2,Kmeans,0.131856,1
2,Kmeans,0.235654,0
2,Kmeans,0.437487,0
2,Kmeans,0.402063,0
2,Kmeans,0.222136,1
2,Kmeans,0.363548,0
2,Kmeans,0.243368,1
2,Kmeans,0.344467,1
2,Kmeans,0.432811,0
2,Kmeans,0.228513,1
2,Kmeans,0.055115,0
2,Kmeans,0.327534,1
2,Kmeans,0.346746,0
2,Kmeans,0.09437,0
2,Kmeans,0.214315,0
2,Kmeans,0.015796,1
2,Kmeans,-0.072579,1
2,Kmeans,0.388193,0
2,Kmeans,0.452031,0
2,Kmeans,0.41402,0
2,Kmeans,0.352062,0
2,Kmeans,0.165987,1
2,Kmeans,-0.027004,1
2,Kmeans,0.327992,1
2,Kmeans,0.244314,1
2,Kmeans,-0.088155,1
2,Kmeans,0.382823,0
2,Kmeans,0.49281,0
2,Kmeans,0.293583,0
2,Kmeans,0.153702,1
2,Kmeans,0.412389,0
2,Kmeans,0.444136,0
2,Kmeans,0.255613,0
2,Kmeans,0.243889,0
2,Kmeans,0.147881,0
2,Kmeans,-0.062277,1
2,Kmeans,0.276702,0
2,Kmeans,0.299283,0
2,Kmeans,0.416343,0
2,Kmeans,0.169348,1
2,Kmeans,0.05079,1
2,Kmeans,0.470632,0
2,Kmeans,0.197554,0
2,Kmeans,0.172906,1
2,Kmeans,0.472903,0
2,Kmeans,0.095543,1
2,Kmeans,0.461135,0
2,Kmeans,0.386457,0
2,Kmeans,0.270678,0
2,Kmeans,0.476538,0
2,Kmeans,-0.056565,1
2,Kmeans,0.140549,0
2,Kmeans,0.293979,0
2,Kmeans,0.277721,0
2,Kmeans,0.365156,0
2,Kmeans,0.335506,0
2,Kmeans,0.160233,1
2,Kmeans,0.276826,0
2,Kmeans,0.164587,0
2,Kmeans,-0.037888,1
2,Kmeans,0.280328,0
2,Kmeans,0.051081,1
2,Kmeans,0.228051,1
2,Kmeans,0.358235,1
2,Kmeans,0.156887,1
2,Kmeans,0.374351,1
2,Kmeans,0.362605,0
2,Kmeans,0.490412,0
2,Kmeans,0.274908,1
2,Kmeans,-0.061189,1
2,Kmeans,0.287684,1
2,Kmeans,0.289787,1
2,Kmeans,0.374541,0
2,Kmeans,0.434751,0
2,Kmeans,0.22432,0
2,Kmeans,0.182412,0
2,Kmeans,-0.061242,1
2,Kmeans,0.319827,0
2,Kmeans,0.466211,0
2,Kmeans,0.484471,0
2,Kmeans,0.042034,1
2,Kmeans,0.316318,0
2,Kmeans,0.285495,1
2,Kmeans,0.333156,0
2,Kmeans,0.060127,1
2,Kmeans,0.366182,0
2,Kmeans,0.477185,0
2,Kmeans,0.441791,0
2,Kmeans,0.105616,1
2,Kmeans,0.1135,1
2,Kmeans,0.436976,0
2,Kmeans,0.235232,1
2,Kmeans,0.414064,0
2,Kmeans,0.454595,0
2,Kmeans,0.495965,0
2,Kmeans,0.158613,1
2,Kmeans,0.275821,0
2,Kmeans,0.084968,1
2,Kmeans,0.477372,0
2,Kmeans,0.308236,0
2,Kmeans,0.199163,0
2,Kmeans,0.186721,1
2,Kmeans,0.360458,1
2,Kmeans,0.184814,0
2,Kmeans,0.472701,0
2,Kmeans,0.461474,0
2,Kmeans,0.116916,1
2,Kmeans,0.293327,0
2,Kmeans,0.356004,0
2,Kmeans,0.216573,0
2,Kmeans,0.266382,1
2,Kmeans,0.109074,1
2,Kmeans,0.406537,0
2,Kmeans,0.039366,1
2,Kmeans,-0.062671,1
2,Kmeans,0.164508,1
2,Kmeans,0.237636,1
2,Kmeans,0.308538,1
2,Kmeans,0.282768,1
2,Kmeans,0.331842,1
2,Kmeans,0.470585,0
2,Kmeans,0.14475,0
2,Kmeans,0.038222,0
2,Kmeans,-0.068567,1
2,Kmeans,0.279744,0
2,Kmeans,0.066386,1
2,Kmeans,0.1951,1
2,Kmeans,0.145088,0
2,Kmeans,0.287176,1
2,Kmeans,0.363518,0
2,Kmeans,0.302106,1
2,Kmeans,0.494924,0
2,Kmeans,0.274252,0
2,Kmeans,0.000564,1
2,Kmeans,0.210117,0
2,Kmeans,0.397591,0
2,Kmeans,0.215126,1
2,Kmeans,0.341733,0
2,Kmeans,0.328868,0
2,Kmeans,0.155414,0
2,Kmeans,-0.03081,1
2,Kmeans,0.317154,1
2,Kmeans,0.260488,0
2,Kmeans,0.216424,1
2,Kmeans,0.284521,0
2,Kmeans,0.497226,0
2,Kmeans,0.209981,1
2,Kmeans,0.472399,0
2,Kmeans,0.261865,0
2,Kmeans,0.069197,1
2,Kmeans,0.253694,1
2,Kmeans,0.201228,0
2,Kmeans,0.353465,1
2,Kmeans,0.332118,0
2,Kmeans,0.048401,0
2,Kmeans,0.401952,0
