k,GMM,Kmeans
2,0.48765609994429915,0.2584709323213495
3,0.11529847288381208,0.2846196338850945
4,0.12205125000379508,0.2723692289732155
5,0.08767759269527926,0.20865864415811855
6,0.07810570409218842,0.19056695383460548
7,0.08936642543090606,0.19569813120425716
8,0.048834292052579956,0.2006592598650813
9,0.0494223244573481,0.17751067859633138
10,0.031214434938221583,0.18900594826440267
15,0.023515774352762028,0.174223516113628
20,0.025060813779212425,0.1742632229567874
25,0.011261186114756351,0.18457205382180647
30,0.049323685741747524,0.1827138335345246
35,0.08569991451547378,0.1665069420502971
