k,GMM,Kmeans
2,0.5213567839195979,0.5178391959798995
3,0.7298994974874372,0.6
4,0.8163316582914573,0.8226130653266331
5,0.8922110552763819,0.7947236180904522
6,0.8771356783919598,0.7912060301507537
7,0.8711055276381909,0.8590452261306533
8,0.8701005025125628,0.8675879396984925
9,0.8706030150753769,0.8771356783919598
10,0.8977386934673367,0.8826633165829145
15,0.921859296482412,0.9010050251256282
20,0.9419597989949748,0.9346733668341709
25,0.949497487437186,0.9276381909547738
30,0.9552763819095478,0.9236180904522613
35,0.9748743718592965,0.9253768844221105
