k,GMM,Kmeans
2,0.0008716621337059536,-0.00017682409611023524
3,0.19783415535480592,0.024717324830979912
4,0.25097461151060496,0.1908621205172748
5,0.3019712983821849,0.18383875747562628
6,0.23435533675217313,0.17042126665338267
7,0.20471362063633655,0.18369926323864105
8,0.1819757256375446,0.1718632840622225
9,0.17519798944687118,0.17725069667776694
10,0.20648733805963845,0.18367287621418676
15,0.19843742578501827,0.16915195536607236
20,0.1942691678925237,0.18179696342732626
25,0.18452075573174517,0.16140923338770358
30,0.1823247072420285,0.1524209571138112
35,0.19092736274328487,0.15227043742035928
