k,type,score,label
2,Kmeans,0.181645,1
2,Kmeans,0.173178,0
2,Kmeans,0.251222,1
2,Kmeans,0.275576,1
2,Kmeans,0.252534,0
2,Kmeans,0.018781,1
2,Kmeans,0.357524,0
2,Kmeans,-0.03385,1
2,Kmeans,0.094302,1
2,Kmeans,0.40726,0
2,Kmeans,0.298209,0
2,Kmeans,0.015072,1
2,Kmeans,0.386245,0
2,Kmeans,0.205569,1
2,Kmeans,0.233104,0
2,Kmeans,0.266036,0
2,Kmeans,0.006861,1
2,Kmeans,0.20964,1
2,Kmeans,0.079707,0
2,Kmeans,0.307419,0
2,Kmeans,0.34063,0
2,Kmeans,0.325905,0
2,Kmeans,0.227012,1
2,Kmeans,0.038326,0
2,Kmeans,0.181898,1
2,Kmeans,0.182813,1
2,Kmeans,0.120002,1
2,Kmeans,0.35694,0
2,Kmeans,0.274489,0
2,Kmeans,0.148658,0
2,Kmeans,0.343671,0
2,Kmeans,0.049158,1
2,Kmeans,0.161514,1
2,Kmeans,0.323274,0
2,Kmeans,0.097845,0
2,Kmeans,0.35694,0
2,Kmeans,0.249404,1
2,Kmeans,0.195518,1
2,Kmeans,-0.03845,1
2,Kmeans,0.085708,0
2,Kmeans,0.140217,1
2,Kmeans,0.169321,1
2,Kmeans,0.140861,1
2,Kmeans,0.283967,1
2,Kmeans,0.40832,0
2,Kmeans,0.131888,0
2,Kmeans,0.067734,1
2,Kmeans,0.178131,1
2,Kmeans,0.14866,0
2,Kmeans,0.127731,1
2,Kmeans,0.163379,0
2,Kmeans,0.249913,1
2,Kmeans,0.013647,1
2,Kmeans,0.283092,0
2,Kmeans,0.090134,1
2,Kmeans,0.289104,1
2,Kmeans,0.255395,1
2,Kmeans,0.253971,1
2,Kmeans,0.295594,0
2,Kmeans,0.288799,1
2,Kmeans,0.040757,0
2,Kmeans,0.185633,1
2,Kmeans,0.043552,1
2,Kmeans,0.414847,0
2,Kmeans,0.351835,0
2,Kmeans,0.091232,0
2,Kmeans,0.049469,1
2,Kmeans,0.275822,1
2,Kmeans,0.280598,0
2,Kmeans,0.102423,1
2,Kmeans,0.146298,0
2,Kmeans,0.208713,0
2,Kmeans,0.139782,1
2,Kmeans,0.091232,0
2,Kmeans,0.103786,0
2,Kmeans,0.057704,1
2,Kmeans,0.15695,1
2,Kmeans,0.312846,0
2,Kmeans,0.347083,0
2,Kmeans,0.376036,0
2,Kmeans,0.108409,1
2,Kmeans,0.28448,1
2,Kmeans,0.360829,0
2,Kmeans,0.061106,1
2,Kmeans,0.281929,1
2,Kmeans,0.212405,1
2,Kmeans,0.136813,1
2,Kmeans,0.080455,0
2,Kmeans,0.283895,1
2,Kmeans,0.198645,1
2,Kmeans,0.259109,0
2,Kmeans,0.031422,1
2,Kmeans,0.264362,0
2,Kmeans,0.351804,0
2,Kmeans,0.281509,0
2,Kmeans,0.20287,0
2,Kmeans,0.315712,0
2,Kmeans,0.174454,1
2,Kmeans,0.237348,0
2,Kmeans,0.120606,1
2,Kmeans,0.188015,1
2,Kmeans,0.190038,1
2,Kmeans,0.176445,1
2,Kmeans,0.36921,0
2,Kmeans,0.233672,0
2,Kmeans,0.337688,0
2,Kmeans,0.302931,0
2,Kmeans,0.034536,0
2,Kmeans,0.22705,1
2,Kmeans,0.06704,1
2,Kmeans,0.346621,0
2,Kmeans,0.027789,1
2,Kmeans,0.277798,1
2,Kmeans,0.232229,0
2,Kmeans,0.226146,0
2,Kmeans,0.271497,0
2,Kmeans,0.149566,1
2,Kmeans,0.011588,1
2,Kmeans,0.281509,0
2,Kmeans,0.315061,1
2,Kmeans,0.192292,0
2,Kmeans,0.190317,0
2,Kmeans,0.254945,1
2,Kmeans,0.031338,1
2,Kmeans,0.271086,0
2,Kmeans,0.2584,1
2,Kmeans,0.263786,1
2,Kmeans,0.396585,0
2,Kmeans,0.169675,1
2,Kmeans,0.168024,1
2,Kmeans,0.123216,1
2,Kmeans,0.393289,0
2,Kmeans,0.277074,0
2,Kmeans,0.163592,1
2,Kmeans,0.117316,1
2,Kmeans,0.297294,1
2,Kmeans,0.252513,1
2,Kmeans,0.255239,0
2,Kmeans,0.020449,1
2,Kmeans,0.092604,1
2,Kmeans,0.34161,0
2,Kmeans,0.358166,0
2,Kmeans,0.378609,0
2,Kmeans,0.146266,0
2,Kmeans,0.312936,0
2,Kmeans,0.130333,0
2,Kmeans,0.210595,1
2,Kmeans,0.106301,0
2,Kmeans,0.197772,0
2,Kmeans,0.25568,1
2,Kmeans,0.151342,0
2,Kmeans,0.228599,0
2,Kmeans,0.101802,0
2,Kmeans,0.131144,0
2,Kmeans,0.275576,1
2,Kmeans,0.170329,1
2,Kmeans,0.160848,1
2,Kmeans,0.105183,1
2,Kmeans,0.126141,0
2,Kmeans,-0.008192,1
2,Kmeans,0.343671,0
2,Kmeans,0.400325,0
2,Kmeans,0.222135,1
2,Kmeans,0.05491,0
2,Kmeans,0.268942,1
2,Kmeans,0.353506,0
2,Kmeans,0.199284,1
2,Kmeans,0.334809,0
2,Kmeans,0.183478,0
2,Kmeans,0.173716,0
2,Kmeans,0.104313,0
2,Kmeans,0.126141,0
2,Kmeans,0.176578,0
2,Kmeans,0.266382,1
2,Kmeans,0.165206,0
2,Kmeans,0.102244,1
2,Kmeans,0.26502,0
2,Kmeans,0.333981,0
2,Kmeans,0.328984,0
2,Kmeans,0.104453,1
2,Kmeans,0.374623,0
