k,GMM,Kmeans
2,0.18795122993083804,0.2076858815774723
3,0.18757333583420943,0.24026630976805857
4,0.23357223147897743,0.26830297225391253
5,0.23263522410537282,0.29862300405743547
6,0.2740282148311761,0.3139978384829139
7,0.27829636748101666,0.3181042264630978
8,0.25718936651261615,0.2978854155910201
9,0.26261987359803357,0.3307685768229977
10,0.29753216404871585,0.3149209731552366
15,0.29602878443462627,0.2878026677375304
20,0.2743617303916561,0.29801375459387364
25,0.29861770222049394,0.31177716866389305
30,0.28721172623803926,0.31692487664631386
35,0.29039735919310655,0.32244121627373057
